Texto_es,Texto_pt,Prompt,Tradução
"Hola, ¿cómo estás?","Olá, como está?",Traduza: '{}',"Olá, como você está?"
"Hola, ¿cómo estás?","Olá, como está?",Traduza a frase '{}' para o Português.,"Olá, como está?"
"Hola, ¿cómo estás?","Olá, como está?","Por favor, traduza a frase '{}' para o Português, mantendo a estrutura gramatical e considerando a adequação cultural.","Olá, como você está?"
"Hola, ¿cómo estás?","Olá, como está?","Traduza '{}' para o Português, mantendo a maior fidelidade de sentido entre a origem e sua tradução. Este texto faz parte de um projeto de pesquisa e a tradução precisa ser com a melhor qualidade possível.","Olá, como vai você?"
El clima está agradable hoy.,O clima está agradável hoje.,Traduza: '{}',The weather is nice today.
El clima está agradable hoy.,O clima está agradável hoje.,Traduza a frase '{}' para o Português.,O clima está agradável hoje.
El clima está agradable hoy.,O clima está agradável hoje.,"Por favor, traduza a frase '{}' para o Português, mantendo a estrutura gramatical e considerando a adequação cultural.",O tempo está agradável hoje.
El clima está agradable hoy.,O clima está agradável hoje.,"Traduza '{}' para o Português, mantendo a maior fidelidade de sentido entre a origem e sua tradução. Este texto faz parte de um projeto de pesquisa e a tradução precisa ser com a melhor qualidade possível.",O clima está agradável hoje.
Me encanta la comida española. Especialmente las tapas y paellas.,Adoro comida espanhola. Especialmente tapas e paellas.,Traduza: '{}',I love Spanish food. Especially tapas and paella.
Me encanta la comida española. Especialmente las tapas y paellas.,Adoro comida espanhola. Especialmente tapas e paellas.,Traduza a frase '{}' para o Português.,Eu amo comida espanhola. Especialmente tapas e paellas.
Me encanta la comida española. Especialmente las tapas y paellas.,Adoro comida espanhola. Especialmente tapas e paellas.,"Por favor, traduza a frase '{}' para o Português, mantendo a estrutura gramatical e considerando a adequação cultural.",Adoro a comida espanhola. Especialmente as tapas e paellas.
Me encanta la comida española. Especialmente las tapas y paellas.,Adoro comida espanhola. Especialmente tapas e paellas.,"Traduza '{}' para o Português, mantendo a maior fidelidade de sentido entre a origem e sua tradução. Este texto faz parte de um projeto de pesquisa e a tradução precisa ser com a melhor qualidade possível.",Eu amo comida espanhola. Especialmente tapas e paellas.
Viajar es una experiencia enriquecedora. Nos permite descubrir nuevas culturas y ampliar nuestra perspectiva sobre el mundo.,Viajar é uma experiência enriquecedora. Permite-nos descobrir novas culturas e ampliar nossa perspectiva sobre o mundo.,Traduza: '{}',Traveling is an enriching experience. It allows us to discover new cultures and broaden our perspective of the world.
Viajar es una experiencia enriquecedora. Nos permite descubrir nuevas culturas y ampliar nuestra perspectiva sobre el mundo.,Viajar é uma experiência enriquecedora. Permite-nos descobrir novas culturas e ampliar nossa perspectiva sobre o mundo.,Traduza a frase '{}' para o Português.,Viajar é uma experiência enriquecedora. Isso nos permite descobrir novas culturas e ampliar nossa perspectiva sobre o mundo.
Viajar es una experiencia enriquecedora. Nos permite descubrir nuevas culturas y ampliar nuestra perspectiva sobre el mundo.,Viajar é uma experiência enriquecedora. Permite-nos descobrir novas culturas e ampliar nossa perspectiva sobre o mundo.,"Por favor, traduza a frase '{}' para o Português, mantendo a estrutura gramatical e considerando a adequação cultural.",Viajar é uma experiência enriquecedora. Isso nos permite descobrir novas culturas e ampliar nossa perspectiva sobre o mundo.
Viajar es una experiencia enriquecedora. Nos permite descubrir nuevas culturas y ampliar nuestra perspectiva sobre el mundo.,Viajar é uma experiência enriquecedora. Permite-nos descobrir novas culturas e ampliar nossa perspectiva sobre o mundo.,"Traduza '{}' para o Português, mantendo a maior fidelidade de sentido entre a origem e sua tradução. Este texto faz parte de um projeto de pesquisa e a tradução precisa ser com a melhor qualidade possível.",Viajar é uma experiência enriquecedora. Ela nos permite descobrir novas culturas e expandir nossa perspectiva de mundo.
